timestamp,arm,gpu_util,gpu_temp_c,gpu_power_w,vram_used_mb,cpu_load,mem_pct,mem_used_gb,mem_total_gb,clock_sm_mhz
2026-09-05 19:58:28.109,A,3,78,19.78,4599,38,56.5,8.68,15.36,1822
2026-09-05 19:58:30.592,A,2,78,15.89,4853,61,59.4,9.13,15.36,1785
2026-09-05 19:58:33.136,A,100,86,64.86,5139,65,51.9,7.98,15.36,1837
2026-09-05 19:58:35.601,A,100,87,60.67,5120,47,50.3,7.73,15.36,1830
2026-09-05 19:58:38.036,A,100,86,59.28,5136,51,48.7,7.48,15.36,1680
2026-09-05 19:58:40.483,A,100,86,56.68,5132,18,47.4,7.28,15.36,1680
2026-09-05 19:58:42.888,A,100,86,53.87,5132,60,47.7,7.33,15.36,1657
2026-09-05 19:58:45.556,A,100,87,57.19,5123,52,47.8,7.34,15.36,1680
2026-09-05 19:58:47.973,A,100,87,57.20,5130,74,48.5,7.45,15.36,1680
2026-09-05 19:58:50.425,A,100,86,55.82,5125,76,48.8,7.49,15.36,1597
2026-09-05 19:58:52.855,A,100,87,49.78,5122,65,49.4,7.58,15.36,1657
2026-09-05 19:58:55.277,A,99,87,56.19,5124,67,49.7,7.63,15.36,1627
2026-09-05 19:58:57.711,A,100,86,50.84,5125,59,49.9,7.67,15.36,1537
2026-09-05 19:59:00.154,A,100,86,53.62,5129,68,50.6,7.78,15.36,1537
2026-09-05 19:59:02.586,A,100,87,51.86,5126,76,50.8,7.81,15.36,1567
2026-09-05 19:59:05.005,A,100,87,53.24,5128,73,50.9,7.82,15.36,1545
2026-09-05 19:59:07.504,A,99,86,51.08,5128,60,51,7.84,15.36,1575
2026-09-05 19:59:09.924,A,100,87,53.22,5128,73,51.2,7.87,15.36,1545
2026-09-05 19:59:12.340,A,100,87,51.33,5129,77,51.4,7.89,15.36,1575
2026-09-05 19:59:14.778,A,100,86,53.41,5128,47,51.5,7.91,15.36,1552
2026-09-05 19:59:17.215,A,100,87,55.02,5130,76,58,8.91,15.36,1560
2026-09-05 19:59:19.650,A,100,87,51.75,5130,79,58.1,8.93,15.36,1545
2026-09-05 19:59:22.083,A,100,87,53.22,5125,69,57,8.76,15.36,1545
2026-09-05 19:59:24.559,A,100,87,55.60,5125,45,57.3,8.8,15.36,1492
2026-09-05 19:59:26.984,A,100,86,49.68,5126,62,57.3,8.8,15.36,1440
2026-09-05 19:59:29.424,A,100,87,54.66,5126,83,57.4,8.82,15.36,1552
2026-09-05 19:59:31.815,A,100,87,52.97,5126,63,57.5,8.83,15.36,1522
2026-09-05 19:59:34.222,A,99,87,52.34,5127,57,57.7,8.87,15.36,1530
2026-09-05 19:59:36.638,A,100,86,47.07,5127,66,57.6,8.85,15.36,1515
2026-09-05 19:59:39.028,A,100,87,54.13,5135,63,57.7,8.86,15.36,1567
2026-09-05 19:59:41.452,A,100,86,49.89,5134,68,57.8,8.88,15.36,1440
2026-09-05 19:59:43.887,A,99,87,52.29,5137,73,57.8,8.88,15.36,1530
2026-09-05 19:59:46.306,A,100,87,50.87,5132,67,57.8,8.89,15.36,1507
2026-09-05 19:59:48.794,A,100,86,52.38,5142,74,58.7,9.02,15.36,1552
2026-09-05 19:59:51.276,A,100,87,51.59,5155,71,58.8,9.04,15.36,1545
2026-09-05 19:59:53.710,A,99,87,52.72,5152,66,58.8,9.04,15.36,1567
2026-09-05 19:59:56.115,A,100,87,51.20,5136,77,58.9,9.05,15.36,1552
2026-09-05 19:59:58.550,A,99,87,52.21,5164,70,59,9.06,15.36,1567
2026-09-05 20:00:01.000,A,100,87,51.35,5172,59,59.1,9.08,15.36,1447
2026-09-05 20:00:03.419,A,99,86,50.99,5141,72,59.3,9.11,15.36,1492
