timestamp,arm,gpu_util,gpu_temp_c,gpu_power_w,vram_used_mb,cpu_load,mem_pct,mem_used_gb,mem_total_gb,clock_sm_mhz
2026-09-05 19:45:48.860,B,1,65,13.88,4408,24,59.6,9.15,15.36,1777
2026-09-05 19:45:51.291,B,2,65,13.33,4733,38,57,8.75,15.36,1725
2026-09-05 19:45:53.651,B,100,77,79.24,4932,41,54.5,8.38,15.36,2227
2026-09-05 19:45:55.981,B,100,76,70.69,4931,8,54.2,8.32,15.36,1875
2026-09-05 19:45:58.339,B,100,79,76.76,4938,3,52.7,8.1,15.36,2130
2026-09-05 19:46:00.697,B,100,80,77.27,4937,36,51.3,7.88,15.36,2070
2026-09-05 19:46:03.100,B,100,81,75.19,4937,34,49.3,7.58,15.36,2092
2026-09-05 19:46:05.507,B,100,82,75.35,4937,21,46.2,7.09,15.36,2092
2026-09-05 19:46:07.869,B,100,83,80.21,4937,18,46.6,7.17,15.36,2160
2026-09-05 19:46:10.259,B,100,84,83.07,4938,23,47.7,7.33,15.36,2220
2026-09-05 19:46:12.600,B,100,85,82.51,4938,57,48,7.37,15.36,2212
2026-09-05 19:46:14.977,B,100,86,81.91,4938,66,51.9,7.98,15.36,2212
2026-09-05 19:46:17.306,B,100,87,82.36,4938,34,51,7.83,15.36,2175
2026-09-05 19:46:19.657,B,100,86,81.23,4943,43,51.1,7.85,15.36,2167
2026-09-05 19:46:21.992,B,100,86,76.55,4940,41,51.1,7.86,15.36,1995
2026-09-05 19:46:24.310,B,100,87,73.25,4936,44,51.1,7.86,15.36,2040
2026-09-05 19:46:26.672,B,100,87,70.73,4936,27,51.2,7.87,15.36,1942
2026-09-05 19:46:29.059,B,100,86,72.32,4936,5,51.4,7.89,15.36,1897
2026-09-05 19:46:31.434,B,100,86,68.15,4938,4,53.1,8.16,15.36,1897
2026-09-05 19:46:33.807,B,100,87,67.89,4966,42,55.3,8.49,15.36,1882
2026-09-05 19:46:36.159,B,100,86,64.19,5000,59,56.2,8.63,15.36,1770
2026-09-05 19:46:38.536,B,100,86,64.96,5018,51,56.4,8.67,15.36,1830
2026-09-05 19:46:40.921,B,100,87,63.15,4999,55,56.5,8.68,15.36,1800
2026-09-05 19:46:43.312,B,100,87,63.37,4971,56,56.7,8.71,15.36,1807
2026-09-05 19:46:45.673,B,100,87,63.93,4966,46,56.8,8.73,15.36,1747
2026-09-05 19:46:48.038,B,100,87,61.76,4995,58,56.9,8.74,15.36,1762
2026-09-05 19:46:50.418,B,100,87,61.11,5077,60,57.1,8.78,15.36,1747
2026-09-05 19:46:52.784,B,100,87,61.53,4980,44,57.4,8.82,15.36,1755
2026-09-05 19:46:55.155,B,100,87,59.34,4978,37,57.5,8.84,15.36,1725
2026-09-05 19:46:57.529,B,100,87,60.17,4982,48,57.6,8.85,15.36,1740
2026-09-05 19:46:59.912,B,100,87,58.48,4972,79,57.7,8.86,15.36,1695
2026-09-05 19:47:02.261,B,100,87,58.60,4968,63,57.7,8.87,15.36,1710
2026-09-05 19:47:04.588,B,99,86,58.47,4960,52,57.8,8.89,15.36,1717
2026-09-05 19:47:06.961,B,100,87,59.81,4954,57,57.8,8.88,15.36,1672
2026-09-05 19:47:09.351,B,100,87,60.18,4954,57,57.9,8.89,15.36,1665
2026-09-05 19:47:11.726,B,100,86,57.71,4949,66,57.9,8.89,15.36,1695
2026-09-05 19:47:14.114,B,100,87,58.33,4949,49,60.5,9.3,15.36,1657
2026-09-05 19:47:16.531,B,100,86,52.62,4949,68,57.2,8.78,15.36,1650
2026-09-05 19:47:19.253,B,100,86,54.56,4956,46,47.1,7.24,15.36,1627
2026-09-05 19:47:21.665,B,100,86,54.80,4948,67,43.1,6.63,15.36,1635
2026-09-05 19:47:24.108,B,100,86,54.77,4948,49,42,6.46,15.36,1635
2026-09-05 19:47:26.510,B,100,86,56.66,4952,62,42.4,6.52,15.36,1605
